titulo_puesto,empresa,carrera_requerida,provincia,experiencia_requerida,salario_minimo,salario_maximo,fecha_publicacion,sector
Médico General,Movistar Ecuador,Medicina,Guayas,1 año,1416,1766,2025-12-02,Privado
Ingeniero Mecánico,Tecnipak,Ingeniería Eléctrica,Pichincha,5+ años,1993,2279,2025-11-10,Privado
Community Manager,Ministerio de Salud,Comunicación Social,El Oro,3 años,1081,1306,2025-10-05,Público
Técnico Industrial,Movistar Ecuador,Ingeniería Industrial,Pichincha,2 años,1262,1428,2025-10-31,Privado
Analista Financiero,Corporación El Rosado,Contabilidad y Auditoría,Guayas,1 año,873,1019,2025-09-18,Privado
Enfermero/a,Fybeca,Enfermería,Azuay,1 año,714,900,2025-11-04,Privado
Ingeniero Mecánico,Repsol Ecuador,Ingeniería Eléctrica,Pichincha,Sin experiencia,889,1125,2025-11-25,Privado
Analista de Recursos Humanos,Ministerio de Salud,Contabilidad y Auditoría,El Oro,4 años,1169,1440,2025-10-14,Público
Fisioterapeuta,Nestlé Ecuador,Medicina,Manabí,2 años,1720,2110,2025-10-23,Privado
Jefe de Recursos Humanos,Fybeca,Administración de Empresas,Guayas,3 años,1302,1614,2025-12-03,Privado
Farmacéutico/a,CNT,Medicina,Tungurahua,Sin experiencia,1254,1420,2025-10-25,Público
Coordinador de Publicidad,Ministerio de Educación,Marketing,El Oro,5+ años,1640,2056,2025-09-14,Público
Ingeniero Civil,Universidad San Francisco,Ingeniería Civil,Manabí,3 años,1468,1676,2025-11-18,Privado
Auditor,Moderna Alimentos,Contabilidad y Auditoría,Manabí,1 año,861,1057,2025-09-25,Privado
Diseñador Gráfico,SRI,Marketing,El Oro,1 año,860,991,2025-11-20,Público
Farmacéutico/a,Schlumberger,Enfermería,Azuay,1 año,660,857,2025-11-11,Privado
Ingeniero Mecánico,Cervecería Nacional,Ingeniería Industrial,Pichincha,1 año,930,1052,2025-12-03,Privado
Farmacéutico/a,Holcim Ecuador,Enfermería,Manabí,2 años,820,1065,2025-11-13,Privado
Coordinador de Publicidad,Banco Pichincha,Marketing,El Oro,2 años,1065,1316,2025-11-14,Privado
Especialista en SEO,Unilever Andina,Marketing,Azuay,1 año,838,997,2025-10-10,Privado
Ingeniero Industrial,Grupo Wright,Ingeniería Eléctrica,Pichincha,2 años,1417,1643,2025-11-27,Privado
Técnico Industrial,Ministerio de Salud,Ingeniería Eléctrica,Guayas,Sin experiencia,857,970,2025-11-13,Público
Scrum Master,Universidad San Francisco,Ingeniería en Sistemas,Manabí,1 año,1084,1393,2025-10-16,Privado
Ingeniero Civil,SRI,Ingeniería Civil,Tungurahua,1 año,1198,1338,2025-11-08,Público
Médico Especialista,Consorcio Nobis,Medicina,Guayas,2 años,1857,2394,2025-09-28,Privado
Coordinador de Publicidad,Tecnipak,Marketing,Guayas,3 años,1292,1616,2025-12-04,Privado
Ingeniero Ambiental,Schlumberger,Ingeniería Civil,El Oro,1 año,1132,1344,2025-11-12,Privado
Ingeniero Mecánico,SRI,Ingeniería Industrial,Guayas,2 años,1095,1209,2025-11-16,Público
Técnico Industrial,Ministerio de Educación,Ingeniería Civil,Pichincha,2 años,1206,1478,2025-10-06,Público
Médico General,Hospital Metropolitano,Medicina,Pichincha,Sin experiencia,1203,1390,2025-11-08,Privado
Ingeniero de Proyectos,Consorcio Nobis,Ingeniería Civil,El Oro,2 años,1434,1741,2025-11-06,Privado
Jefe de Mantenimiento,Halliburton,Ingeniería Civil,Guayas,1 año,1010,1244,2025-10-22,Privado
Tecnólogo Médico,La Fabril,Enfermería,El Oro,Sin experiencia,510,627,2025-11-28,Privado
Médico General,Schlumberger,Medicina,El Oro,4 años,2322,2954,2025-10-08,Privado
Ingeniero Eléctrico,ARCA Continental,Ingeniería Civil,Guayas,5+ años,2165,2502,2025-10-08,Privado
Auxiliar de Enfermería,Nestlé Ecuador,Medicina,Pichincha,3 años,2163,2613,2025-09-08,Privado
Fisioterapeuta,CNT,Medicina,Manabí,1 año,1495,1708,2025-10-28,Público
Ingeniero de Software,Repsol Ecuador,Ingeniería en Sistemas,Pichincha,Sin experiencia,1053,1214,2025-11-04,Privado
Content Manager,Moderna Alimentos,Marketing,Guayas,3 años,1116,1276,2025-09-14,Privado
Coordinador de Publicidad,Cervecería Nacional,Comunicación Social,El Oro,2 años,866,961,2025-11-07,Privado
Ingeniero de Proyectos,CNT,Ingeniería Eléctrica,Pichincha,Sin experiencia,961,1072,2025-09-30,Público
Farmacéutico/a,Holcim Ecuador,Medicina,El Oro,2 años,1930,2278,2025-11-18,Privado
Técnico Industrial,Pronaca,Ingeniería Civil,Tungurahua,Sin experiencia,806,992,2025-11-18,Privado
Supervisor de Obra,Claro Ecuador,Ingeniería Eléctrica,Guayas,4 años,1819,2115,2025-10-10,Privado
Odontólogo/a,Produbanco,Enfermería,Manabí,1 año,674,842,2025-09-16,Privado
DevOps Engineer,Nestlé Ecuador,Ingeniería en Sistemas,Pichincha,3 años,1692,2032,2025-09-23,Privado
Gerente de Operaciones,SRI,Contabilidad y Auditoría,Azuay,1 año,765,908,2025-11-15,Público
Analista de E-commerce,Almacenes Juan Eljuri,Marketing,Pichincha,2 años,1054,1276,2025-11-30,Privado
Odontólogo/a,Claro Ecuador,Medicina,Pichincha,2 años,1940,2422,2025-09-26,Privado
Gerente de Marketing,IESS,Marketing,El Oro,1 año,823,1018,2025-10-10,Público
Jefe de Mantenimiento,Claro Ecuador,Ingeniería Eléctrica,Pichincha,5+ años,2020,2393,2025-10-12,Privado
Desarrollador Full Stack,Hospital Metropolitano,Ingeniería en Sistemas,Guayas,3 años,1726,1989,2025-11-02,Privado
Ingeniero de Calidad,Banco Pichincha,Ingeniería Eléctrica,Pichincha,4 años,1610,2055,2025-09-26,Privado
Ingeniero Civil,Corporación GPF,Ingeniería Eléctrica,Tungurahua,4 años,1778,2108,2025-09-12,Privado
Especialista en SEO,Pronaca,Marketing,Azuay,2 años,960,1103,2025-09-20,Privado
Gerente General,Halliburton,Contabilidad y Auditoría,Tungurahua,4 años,1343,1725,2025-10-07,Privado
Contador,Halliburton,Administración de Empresas,Pichincha,Sin experiencia,673,864,2025-10-29,Privado
Ingeniero Ambiental,CNT,Ingeniería Civil,El Oro,1 año,1013,1291,2025-11-06,Público
Ingeniero Eléctrico,La Fabril,Ingeniería Civil,Azuay,Sin experiencia,845,1063,2025-10-06,Privado
